comparison_family,rat_pair,actual_pair_mean,n_scores
A_vs_A,rat0222__rat0307,0.6163636363636363,20
A_vs_A,rat0222__rat0313,0.5363636363636364,20
A_vs_A,rat0222__rat0314,0.44060606060606056,20
A_vs_A,rat0222__rat0816,0.586060606060606,20
A_vs_A,rat0307__rat0313,0.6739393939393938,20
A_vs_A,rat0307__rat0314,0.6048484848484847,20
A_vs_A,rat0307__rat0816,0.7454545454545454,20
A_vs_A,rat0313__rat0314,0.5806060606060606,20
A_vs_A,rat0313__rat0816,0.7296969696969696,20
A_vs_A,rat0314__rat0816,0.6478787878787878,20
A_vs_B,rat0222__rat0307,0.4087878787878788,40
A_vs_B,rat0222__rat0313,0.5615151515151514,40
A_vs_B,rat0222__rat0314,0.45787878787878783,40
A_vs_B,rat0222__rat0816,0.5987878787878788,40
A_vs_B,rat0307__rat0313,0.4924242424242424,40
A_vs_B,rat0307__rat0314,0.369090909090909,40
A_vs_B,rat0307__rat0816,0.47757575757575754,40
A_vs_B,rat0313__rat0314,0.553939393939394,40
A_vs_B,rat0313__rat0816,0.6745454545454546,40
A_vs_B,rat0314__rat0816,0.5706060606060606,40
B_vs_B,rat0222__rat0307,0.3139393939393939,20
B_vs_B,rat0222__rat0313,0.5703030303030302,20
B_vs_B,rat0222__rat0314,0.37151515151515146,20
B_vs_B,rat0222__rat0816,0.6218181818181817,20
B_vs_B,rat0307__rat0313,0.42181818181818176,20
B_vs_B,rat0307__rat0314,0.24,20
B_vs_B,rat0307__rat0816,0.33939393939393936,20
B_vs_B,rat0313__rat0314,0.5624242424242423,20
B_vs_B,rat0313__rat0816,0.6593939393939393,20
B_vs_B,rat0314__rat0816,0.5030303030303029,20
