observation_id,rat_left,rat_right,rat_pair,comparison,comparison_family,model_run,rReal
0,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,0,0.5393939393939393
1,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,1,0.9393939393939393
2,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,2,0.5030303030303029
3,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,3,0.8787878787878788
4,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,4,0.7818181818181817
5,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,5,0.5636363636363636
6,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,6,0.29696969696969694
7,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,7,0.4545454545454545
8,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,8,0.9515151515151514
9,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,9,0.5757575757575757
10,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,10,0.5515151515151515
11,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,11,0.8909090909090909
12,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,12,0.7333333333333332
13,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,13,0.2727272727272727
14,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,14,0.8909090909090909
15,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,15,0.4666666666666666
16,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,16,0.4424242424242424
17,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,17,0.06666666666666665
18,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,18,0.8303030303030302
19,rat0222,rat0307,rat0222__rat0307,A_vs_A,A_vs_A,19,0.6969696969696969
20,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,0,-0.11515151515151514
21,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,1,0.6848484848484848
22,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,2,0.1515151515151515
23,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,3,0.4545454545454545
24,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,4,0.28484848484848485
25,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,5,0.06666666666666665
26,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,6,0.34545454545454546
27,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,7,0.7212121212121211
28,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,8,0.07878787878787878
29,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,9,-0.05454545454545454
30,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,10,0.8060606060606059
31,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,11,0.38181818181818183
32,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,12,0.7333333333333332
33,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,13,0.3696969696969697
34,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,14,0.406060606060606
35,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,15,0.309090909090909
36,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,16,0.16363636363636364
37,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,17,0.2727272727272727
38,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,18,0.7212121212121211
39,rat0222,rat0307,rat0222__rat0307,A_vs_B,A_vs_B,19,-0.2121212121212121
40,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,0,0.5636363636363636
41,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,1,0.6242424242424242
42,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,2,0.8060606060606059
43,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,3,0.4424242424242424
44,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,4,0.7818181818181817
45,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,5,0.6969696969696969
46,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,6,0.5515151515151515
47,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,7,0.41818181818181815
48,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,8,0.406060606060606
