comparison_family,null_sample,shuffle_null_mean,n_rat_pairs
A_vs_A,0,-0.007818181818181816,10
A_vs_A,1,-0.01842424242424242,10
A_vs_A,2,0.00848484848484848,10
A_vs_A,3,-0.009393939393939395,10
A_vs_A,4,-0.028969696969696968,10
A_vs_A,5,0.014666666666666666,10
A_vs_A,6,0.014606060606060605,10
A_vs_A,7,-0.02715151515151515,10
A_vs_A,8,0.00696969696969697,10
A_vs_A,9,0.006363636363636366,10
A_vs_A,10,0.040606060606060604,10
A_vs_A,11,-0.03381818181818182,10
A_vs_A,12,0.025272727272727273,10
A_vs_A,13,0.004969696969696971,10
A_vs_A,14,-0.028303030303030295,10
A_vs_A,15,0.02418181818181818,10
A_vs_A,16,-0.00036363636363635906,10
A_vs_A,17,-0.03163636363636364,10
A_vs_A,18,-0.035151515151515156,10
A_vs_A,19,-0.002666666666666674,10
A_vs_A,20,-0.007030303030303027,10
A_vs_A,21,0.015030303030303024,10
A_vs_A,22,0.00696969696969697,10
A_vs_A,23,-0.04036363636363636,10
A_vs_A,24,-0.004727272727272735,10
A_vs_A,25,0.008484848484848486,10
A_vs_A,26,0.005393939393939397,10
A_vs_A,27,0.01709090909090908,10
A_vs_A,28,0.02236363636363636,10
A_vs_A,29,0.03872727272727272,10
A_vs_A,30,-0.021818181818181823,10
A_vs_A,31,-0.0206060606060606,10
A_vs_A,32,-0.017333333333333333,10
A_vs_A,33,-0.005151515151515153,10
A_vs_A,34,0.030545454545454542,10
A_vs_A,35,-0.03757575757575757,10
A_vs_A,36,0.009575757575757574,10
A_vs_A,37,-0.007454545454545452,10
A_vs_A,38,-0.01490909090909091,10
A_vs_A,39,0.010909090909090906,10
A_vs_A,40,-0.004424242424242425,10
A_vs_A,41,-0.020060606060606057,10
A_vs_A,42,0.009393939393939395,10
A_vs_A,43,-0.030787878787878788,10
A_vs_A,44,-0.0059999999999999975,10
A_vs_A,45,-0.021818181818181816,10
A_vs_A,46,-0.0058787878787878835,10
A_vs_A,47,0.00909090909090909,10
A_vs_A,48,-0.011515151515151513,10
A_vs_A,49,-0.0010909090909090914,10
A_vs_A,50,-0.02042424242424242,10
A_vs_A,51,-0.015454545454545452,10
A_vs_A,52,-0.0008484848484848522,10
A_vs_A,53,-0.026545454545454546,10
A_vs_A,54,0.01345454545454545,10
A_vs_A,55,-0.01993939393939393,10
A_vs_A,56,0.01521212121212121,10
A_vs_A,57,-0.045454545454545456,10
A_vs_A,58,0.019757575757575755,10
A_vs_A,59,-0.0011515151515151458,10
A_vs_A,60,-0.018909090909090907,10
A_vs_A,61,-0.057999999999999996,10
A_vs_A,62,0.00903030303030303,10
A_vs_A,63,-0.03806060606060605,10
A_vs_A,64,0.04884848484848484,10
A_vs_A,65,0.045212121212121203,10
A_vs_A,66,-0.008181818181818184,10
A_vs_A,67,-0.022727272727272724,10
A_vs_A,68,0.008969696969696975,10
A_vs_A,69,-0.013696969696969694,10
A_vs_A,70,0.0009696969696969648,10
A_vs_A,71,0.005090909090909093,10
A_vs_A,72,-0.028303030303030295,10
A_vs_A,73,-0.002242424242424243,10
A_vs_A,74,0.0041818181818181815,10
A_vs_A,75,0.0007878787878787874,10
A_vs_A,76,-0.03709090909090909,10
A_vs_A,77,-0.015696969696969702,10
A_vs_A,78,0.04333333333333332,10
A_vs_A,79,-0.019515151515151513,10
A_vs_A,80,-0.0058787878787878774,10
A_vs_A,81,0.007090909090909088,10
A_vs_A,82,0.010727272727272728,10
A_vs_A,83,0.0038787878787878835,10
A_vs_A,84,-0.025030303030303035,10
A_vs_A,85,0.012060606060606063,10
A_vs_A,86,-0.02127272727272727,10
A_vs_A,87,-0.005272727272727272,10
A_vs_A,88,-0.012363636363636365,10
A_vs_A,89,-0.05387878787878787,10
A_vs_A,90,-0.026787878787878795,10
A_vs_A,91,0.010606060606060608,10
A_vs_A,92,-0.03478787878787878,10
A_vs_A,93,-0.0535151515151515,10
A_vs_A,94,0.006787878787878782,10
A_vs_A,95,-0.03,10
A_vs_A,96,-0.00618181818181818,10
A_vs_A,97,-0.027454545454545454,10
A_vs_A,98,-0.02066666666666666,10
A_vs_A,99,-0.004242424242424255,10
A_vs_A,100,-0.055999999999999994,10
A_vs_A,101,-0.03430303030303031,10
A_vs_A,102,-0.01375757575757576,10
A_vs_A,103,0.018969696969696963,10
A_vs_A,104,0.013696969696969688,10
A_vs_A,105,-0.027696969696969692,10
A_vs_A,106,-0.00612121212121213,10
A_vs_A,107,0.00618181818181818,10
A_vs_A,108,0.005212121212121215,10
A_vs_A,109,0.01666666666666667,10
A_vs_A,110,-0.02175757575757576,10
A_vs_A,111,-0.016727272727272733,10
A_vs_A,112,-0.04066666666666667,10
A_vs_A,113,-0.02351515151515151,10
A_vs_A,114,-0.01987878787878788,10
A_vs_A,115,0.011090909090909089,10
A_vs_A,116,0.009333333333333336,10
A_vs_A,117,-0.03787878787878788,10
A_vs_A,118,0.009575757575757581,10
A_vs_A,119,-0.013090909090909092,10
A_vs_A,120,-0.017151515151515147,10
A_vs_A,121,-0.03733333333333333,10
A_vs_A,122,0.02036363636363637,10
A_vs_A,123,-0.037454545454545456,10
A_vs_A,124,-0.0061818181818181755,10
A_vs_A,125,-0.013393939393939397,10
A_vs_A,126,0.0010303030303030272,10
A_vs_A,127,-0.03927272727272727,10
A_vs_A,128,0.019333333333333334,10
A_vs_A,129,0.02527272727272727,10
A_vs_A,130,0.010424242424242423,10
A_vs_A,131,0.003272727272727272,10
A_vs_A,132,-0.026787878787878784,10
A_vs_A,133,0.019939393939393934,10
A_vs_A,134,-0.023333333333333338,10
A_vs_A,135,0.014727272727272731,10
A_vs_A,136,0.007575757575757572,10
A_vs_A,137,-0.0023636363636363638,10
A_vs_A,138,0.0019999999999999983,10
A_vs_A,139,0.009757575757575757,10
A_vs_A,140,0.02163636363636363,10
A_vs_A,141,0.004424242424242421,10
A_vs_A,142,-0.009696969696969699,10
A_vs_A,143,-0.014606060606060603,10
A_vs_A,144,-0.005090909090909087,10
A_vs_A,145,0.007757575757575757,10
A_vs_A,146,-0.021030303030303038,10
A_vs_A,147,0.007151515151515147,10
A_vs_A,148,-0.02654545454545455,10
A_vs_A,149,-0.06406060606060605,10
A_vs_A,150,-0.01272727272727272,10
A_vs_A,151,0.008363636363636365,10
A_vs_A,152,-0.004181818181818184,10
A_vs_A,153,-0.031757575757575755,10
A_vs_A,154,0.01654545454545454,10
A_vs_A,155,0.017333333333333333,10
A_vs_A,156,-0.0050909090909090834,10
A_vs_A,157,-0.03684848484848484,10
A_vs_A,158,0.022787878787878784,10
A_vs_A,159,-0.02412121212121212,10
A_vs_A,160,0.001757575757575754,10
A_vs_A,161,0.0038181818181818165,10
A_vs_A,162,0.006909090909090904,10
A_vs_A,163,-0.008727272727272726,10
A_vs_A,164,-0.025151515151515154,10
A_vs_A,165,-0.03599999999999999,10
A_vs_A,166,-0.017454545454545452,10
A_vs_A,167,0.02509090909090909,10
A_vs_A,168,0.01133333333333333,10
A_vs_A,169,-0.020727272727272726,10
A_vs_A,170,-0.015393939393939387,10
A_vs_A,171,-0.002909090909090918,10
A_vs_A,172,0.0029090909090909037,10
A_vs_A,173,-0.018060606060606065,10
A_vs_A,174,0.015636363636363636,10
A_vs_A,175,0.06896969696969697,10
A_vs_A,176,0.019272727272727268,10
A_vs_A,177,0.04757575757575756,10
A_vs_A,178,0.03745454545454545,10
A_vs_A,179,-0.05587878787878788,10
A_vs_A,180,0.016727272727272726,10
A_vs_A,181,0.0044848484848484865,10
A_vs_A,182,-0.01418181818181818,10
A_vs_A,183,0.033454545454545445,10
A_vs_A,184,-0.03503030303030303,10
A_vs_A,185,-0.05181818181818182,10
A_vs_A,186,0.0032121212121212087,10
A_vs_A,187,0.021212121212121206,10
A_vs_A,188,0.028606060606060597,10
A_vs_A,189,0.008787878787878785,10
A_vs_A,190,-0.0090909090909091,10
A_vs_A,191,0.0016363636363636302,10
A_vs_A,192,0.028484848484848484,10
A_vs_A,193,-0.050545454545454546,10
A_vs_A,194,-0.003515151515151513,10
A_vs_A,195,-0.0058787878787878705,10
A_vs_A,196,-0.011030303030303033,10
A_vs_A,197,-0.02224242424242424,10
A_vs_A,198,-0.011272727272727271,10
A_vs_A,199,-0.017393939393939385,10
A_vs_A,200,-0.013696969696969697,10
A_vs_A,201,-0.00042424242424242837,10
A_vs_A,202,-0.03103030303030303,10
A_vs_A,203,-0.05648484848484849,10
A_vs_A,204,-0.049393939393939386,10
A_vs_A,205,0.022545454545454546,10
A_vs_A,206,-0.029454545454545445,10
A_vs_A,207,0.006242424242424244,10
A_vs_A,208,-0.006787878787878789,10
A_vs_A,209,-0.04109090909090908,10
A_vs_A,210,0.03006060606060606,10
A_vs_A,211,-0.027999999999999987,10
A_vs_A,212,-0.017090909090909094,10
A_vs_A,213,-0.06690909090909089,10
A_vs_A,214,-0.019090909090909092,10
A_vs_A,215,-0.00884848484848485,10
A_vs_A,216,0.008606060606060603,10
A_vs_A,217,0.019272727272727268,10
A_vs_A,218,0.003090909090909088,10
A_vs_A,219,-0.02412121212121212,10
A_vs_A,220,-0.00012121212121211366,10
A_vs_A,221,0.004848484848484847,10
A_vs_A,222,0.0038181818181818187,10
A_vs_A,223,0.04006060606060605,10
A_vs_A,224,-0.017090909090909094,10
A_vs_A,225,-0.007757575757575757,10
A_vs_A,226,0.03927272727272727,10
A_vs_A,227,-0.003818181818181818,10
A_vs_A,228,0.020363636363636355,10
A_vs_A,229,0.005454545454545453,10
A_vs_A,230,0.008969696969696975,10
A_vs_A,231,-0.015333333333333334,10
A_vs_A,232,0.0023636363636363607,10
A_vs_A,233,-0.03096969696969697,10
A_vs_A,234,0.0223030303030303,10
A_vs_A,235,0.010969696969696964,10
A_vs_A,236,0.014424242424242431,10
A_vs_A,237,-0.0023030303030302977,10
A_vs_A,238,-0.02024242424242424,10
A_vs_A,239,0.08775757575757574,10
A_vs_A,240,-0.030242424242424237,10
A_vs_A,241,-0.017696969696969697,10
A_vs_A,242,0.025575757575757578,10
