observation_id,comparison,comparison_family,rat_left,rat_right,rat_pair,model_run,procrustes_disparity,aligned_rmse,aligned_sse_over_target_ss
0,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,0,0.2004597731454566,0.4477273424143947,0.2004597731454566
1,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,1,0.11509414195261242,0.33925527549709883,0.11509414195261244
2,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,2,0.22367082452739548,0.4729384997305628,0.22367082452739553
3,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,3,0.19062353261044002,0.43660454946145466,0.19062353261043985
4,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,4,0.13943757394438328,0.3734134088974085,0.13943757394438322
5,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,5,0.2196325076833458,0.46864966412379494,0.2196325076833458
6,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,6,0.16098591284128788,0.4012304983937386,0.1609859128412878
7,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,7,0.2320027913825647,0.48166668078928276,0.2320027913825648
8,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,8,0.01634902744936968,0.1278633154949834,0.016349027449369665
9,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,9,0.12483793367471524,0.35332411985981843,0.12483793367471532
10,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,10,0.122254488681718,0.34964909363777535,0.12225448868171779
11,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,11,0.08598943296329853,0.29323954877079356,0.08598943296329863
12,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,12,0.15926836874960162,0.39908441306270237,0.15926836874960165
13,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,13,0.41045923331405937,0.640670924355132,0.41045923331405915
14,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,14,0.10468325578678267,0.3235479188416805,0.10468325578678264
15,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,15,0.22980144451056417,0.47937609922749,0.2298014445105644
16,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,16,0.17896548188742586,0.4230431206005197,0.17896548188742584
17,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,17,0.3994228984766794,0.6319991285410759,0.3994228984766793
18,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,18,0.05080143847891512,0.2253917444781754,0.05080143847891511
19,A_vs_A,A_vs_A,rat0222,rat0307,rat0222__rat0307,19,0.1495490049083257,0.38671566416208886,0.1495490049083255
20,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,0,0.6438915221743612,0.8024285153048596,0.6438915221743613
