comparison_family,rat_pair,actual_pair_mean_procrustes_disparity,actual_pair_mean_aligned_rmse,actual_pair_mean_aligned_sse_over_target_ss,n_model_runs
A_vs_A,rat0222__rat0307,0.17571445334844707,0.40276955051699853,0.17571445334844707,20
A_vs_A,rat0222__rat0313,0.2019146381431703,0.43735717449154893,0.2019146381431703,20
A_vs_A,rat0222__rat0314,0.23801546018605987,0.47481805411134576,0.23801546018605987,20
A_vs_A,rat0222__rat0816,0.18884363557058131,0.4196618624115162,0.18884363557058131,20
A_vs_A,rat0307__rat0313,0.14856540828179646,0.3715163737346713,0.14856540828179648,20
A_vs_A,rat0307__rat0314,0.16339274716078736,0.3915251036723083,0.16339274716078736,20
A_vs_A,rat0307__rat0816,0.12487479199402571,0.3371136113417298,0.12487479199402574,20
A_vs_A,rat0313__rat0314,0.14343731701027113,0.36951876217686097,0.14343731701027113,20
A_vs_A,rat0313__rat0816,0.1203528210836889,0.33130147623193895,0.1203528210836889,20
A_vs_A,rat0314__rat0816,0.11028819285956315,0.3153591507254217,0.11028819285956315,20
A_vs_B,rat0222__rat0307,0.29362732724934526,0.5222614855832154,0.29362732724934526,40
A_vs_B,rat0222__rat0313,0.2063502754041533,0.43749121474249486,0.20635027540415324,40
A_vs_B,rat0222__rat0314,0.2543599358966687,0.4883258911563998,0.2543599358966687,40
A_vs_B,rat0222__rat0816,0.20158918248797736,0.42872404391965696,0.20158918248797736,40
A_vs_B,rat0307__rat0313,0.23977088225340867,0.4565974872321011,0.23977088225340867,40
A_vs_B,rat0307__rat0314,0.2930731652618862,0.5215789063255862,0.2930731652618862,40
A_vs_B,rat0307__rat0816,0.24241234804421205,0.4625528416619954,0.2424123480442121,40
A_vs_B,rat0313__rat0314,0.15147225058652894,0.3751055989787904,0.15147225058652894,40
A_vs_B,rat0313__rat0816,0.13102772802539148,0.33820836380533936,0.13102772802539148,40
A_vs_B,rat0314__rat0816,0.14433193262668176,0.3659281258480145,0.14433193262668176,40
B_vs_B,rat0222__rat0307,0.36330039924880764,0.5738198606561259,0.36330039924880775,20
B_vs_B,rat0222__rat0313,0.22777086447004588,0.45688828126192316,0.22777086447004594,20
B_vs_B,rat0222__rat0314,0.2930427012923418,0.5237077242488847,0.2930427012923418,20
B_vs_B,rat0222__rat0816,0.2034215656638295,0.43031864007501913,0.2034215656638295,20
B_vs_B,rat0307__rat0313,0.32255035593784653,0.5449855436656763,0.32255035593784653,20
B_vs_B,rat0307__rat0314,0.41360838639907166,0.6225110139609755,0.41360838639907155,20
B_vs_B,rat0307__rat0816,0.3677569081955227,0.5778639600186146,0.3677569081955227,20
B_vs_B,rat0313__rat0314,0.1498096162972174,0.36969774373219544,0.1498096162972174,20
B_vs_B,rat0313__rat0816,0.13364212846003917,0.34695700782746175,0.13364212846003914,20
B_vs_B,rat0314__rat0816,0.18347924378363278,0.4130341672799502,0.18347924378363273,20
