rat_id,environment,reference_rat_id,reference_env,alignment_method,zscore_before_align,n_points,n_dimensions,procrustes_disparity,aligned_sse,aligned_rmse,target_total_ss,aligned_sse_over_target_ss
rat0222,A,rat0222,A,similarity,True,5,3,7.650756704078294e-32,4.343549803576533e-30,5.381170754632324e-16,15.0,2.895699869051022e-31
rat0222,B,rat0222,A,similarity,True,5,3,0.37761261806105517,5.664189270915828,0.6145019268163894,15.0,0.37761261806105517
rat0307,A,rat0222,A,similarity,True,5,3,0.5084298907445763,7.626448361168645,0.7130426991033401,15.0,0.5084298907445763
rat0307,B,rat0222,A,similarity,True,5,3,0.21215829300484093,3.182374395072616,0.46060644047260246,15.0,0.21215829300484107
rat0313,A,rat0222,A,similarity,True,5,3,0.45713361771819655,6.857004265772945,0.6761165711016084,15.0,0.45713361771819633
rat0313,B,rat0222,A,similarity,True,5,3,0.4483464593838053,6.72519689075708,0.669586782563549,15.0,0.44834645938380535
rat0314,A,rat0222,A,similarity,True,5,3,0.4214214856563021,6.321322284844532,0.649169843458784,15.0,0.42142148565630216
rat0314,B,rat0222,A,similarity,True,5,3,0.20541414504038352,3.081212175605751,0.45322637284295736,15.0,0.2054141450403834
rat0816,A,rat0222,A,similarity,True,5,3,0.34154272712851647,5.12314090692775,0.584416569861359,15.0,0.3415427271285167
rat0816,B,rat0222,A,similarity,True,5,3,0.47082500412015865,7.062375061802382,0.6861668923229675,15.0,0.4708250041201588
