rat_id,comparison,reference_rat_id,zscore_before_align,n_points,n_dimensions,procrustes_disparity,aligned_sse,aligned_rmse,target_total_ss,aligned_sse_over_target_ss
rat0222,within_rat_B_to_A,rat0222,True,5,3,0.37761261806105517,5.664189270915828,0.6145019268163894,15.0,0.37761261806105517
rat0307,within_rat_B_to_A,rat0307,True,5,3,0.40612112255008864,6.0918168382513285,0.6372763313901503,14.999999999999998,0.4061211225500886
rat0313,within_rat_B_to_A,rat0313,True,5,3,0.25728367299484023,3.8592550949226063,0.5072313801361666,15.000000000000002,0.2572836729948404
rat0314,within_rat_B_to_A,rat0314,True,5,3,0.41642656634068137,6.246398495110213,0.6453112166549415,14.999999999999996,0.416426566340681
rat0816,within_rat_B_to_A,rat0816,True,5,3,0.38243423307054436,5.736513496058168,0.618412672145829,15.0,0.3824342330705445
rat0222,cross_rat_mean_ab_to_reference,rat0222,True,5,3,6.11615165026624e-31,0.0,0.0,10.751858046813132,0.0
rat0307,cross_rat_mean_ab_to_reference,rat0222,True,5,3,0.22019833980766562,2.3675412917559417,0.3972858997209224,10.751858046813132,0.2201983398076656
rat0313,cross_rat_mean_ab_to_reference,rat0222,True,5,3,0.27490328466571967,2.9557210933284774,0.4439009719391986,10.751858046813132,0.2749032846657195
rat0314,cross_rat_mean_ab_to_reference,rat0222,True,5,3,0.11023650779155295,1.1852472833511871,0.2810987114106819,10.751858046813132,0.11023650779155296
rat0816,cross_rat_mean_ab_to_reference,rat0222,True,5,3,0.16875316579078162,1.8144100835328052,0.34779400833757956,10.751858046813132,0.16875316579078156
