pair,source,target,cebra_geometry_similarity,cebra_geometry_shuffle_mean,cebra_geometry_shuffle_std,cebra_geometry_effect_over_shuffle,cebra_geometry_shuffle_p,cebra_procrustes_disparity
rat0222__2023_05_09__vs__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,0.5541444568088809,-0.02002999764694185,0.3332070532254448,1.7231761719861962,0.05389221556886228,0.07401282088561414
rat0222__2023_05_09__vs__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,0.8496889419369544,0.019725431900915108,0.3423861510162542,2.4240568947446657,0.011976047904191617,0.02260590499461086
rat0222__2023_05_09__vs__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,0.44863905022472333,-0.006515558276592441,0.35102251597998224,1.2966535985038403,0.1317365269461078,0.09987992471778648
rat0222__2023_05_09__vs__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,0.7259931716837951,0.03024943711794336,0.33042738831431623,2.105587367061811,0.031936127744510975,0.37442440032149155
rat0307__2023_06_05__vs__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,0.6494604717467528,0.013087894116222881,0.3320238116887163,1.9166474066840453,0.03992015968063872,0.07731680174838436
rat0307__2023_06_05__vs__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,0.22079604908937542,0.0008838287446039628,0.3176724962575356,0.6922608124264231,0.27944111776447106,0.10114340318254578
rat0307__2023_06_05__vs__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,0.6202817523972816,0.024350170874356387,0.32807753231520886,1.8164352106573658,0.03792415169660679,0.40741122357629306
rat0313__2023_05_31__vs__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,0.3195898005178701,-0.011863149324979396,0.32837326348517,1.0093786148269,0.21157684630738524,0.09979141247352481
rat0313__2023_05_31__vs__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,0.9525049425127139,0.018369864608357035,0.3357703987769936,2.782065010217816,0.01996007984031936,0.19863629433897376
rat0314__2023_05_22__vs__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,0.40745149322148283,0.002771007678589114,0.3300281462025968,1.226199917186668,0.16966067864271456,0.22113652741618134
