pair,source,target,preferred_hist_correlation,preferred_hist_js_distance,modulation_wasserstein_distance,modulation_ks_stat,modulation_ks_p
rat0222__2023_05_09__vs__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,0.21834703266074645,0.25334765755518335,0.02750625054705565,0.21318576210972193,7.292960061870888e-06
rat0222__2023_05_09__vs__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,0.6899468407925431,0.15825487448982267,0.012706567350745289,0.10057496682883679,0.1308903366369153
rat0222__2023_05_09__vs__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,0.5408064431469458,0.18798617476408774,0.004567306365803596,0.049709114414996765,0.6860586317872756
rat0222__2023_05_09__vs__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,0.6689209609693022,0.19005575496067742,0.021147761976130535,0.09423040781807931,0.07391044080672027
rat0307__2023_06_05__vs__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,0.588838105142488,0.1837271205984034,0.01875078010979331,0.18833669539702916,9.063349479154913e-05
rat0307__2023_06_05__vs__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,0.8023675121421869,0.14497444105284293,0.026841672374644042,0.19938354328598232,4.474510395922202e-08
rat0307__2023_06_05__vs__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,0.4469027246149083,0.2143546575114972,0.04739114222066388,0.2198183255223698,7.994950801982284e-09
rat0313__2023_05_31__vs__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,0.9242108611434188,0.0989411472821725,0.012096197807679968,0.08131868131868132,0.12337885805097629
rat0313__2023_05_31__vs__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,0.7856470633911262,0.1510094861963265,0.03218377036628742,0.14779360541929903,0.0004981689035857513
rat0314__2023_05_22__vs__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,0.836397912629733,0.16003396009491247,0.020654091978531817,0.09242355089000456,0.003255626588665581
