pair,source,target,mean_trace_similarity,fraction_active_similarity,mean_trace_euclidean,fraction_active_euclidean,mean_trace_shuffle_mean,mean_trace_shuffle_std,fraction_active_shuffle_mean,fraction_active_shuffle_std,mean_trace_effect_over_shuffle,fraction_active_effect_over_shuffle,mean_trace_shuffle_p,fraction_active_shuffle_p
rat0222__2023_05_09__vs__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,0.9569613627810669,0.9394081785824681,0.656038392313537,0.7784074859450666,0.03260186412889557,0.5001272654392379,-0.007457470902424757,0.4865818425211253,1.8482485609744763,1.9459535205401421,0.02594810379241517,0.0499001996007984
rat0222__2023_05_09__vs__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,0.9691831896262583,0.9262633218329464,0.5551289073156052,0.858700635652807,0.023322177554370528,0.484301509124872,0.032651151767367735,0.5026174170365415,1.9530416367709635,1.7779172383924984,0.00998003992015968,0.0658682634730539
rat0222__2023_05_09__vs__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,0.957734529766539,0.9294822321413594,0.6501189909044433,0.8397485805801673,-0.02510443421511517,0.48134450914255583,-0.00864708616425464,0.4921832199351625,2.041861796101999,1.90605709481359,0.023952095808383235,0.03992015968063872
rat0222__2023_05_09__vs__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,0.9804185405336141,0.8704978139183523,0.4425094288982539,1.1379902727248932,-0.02647430730173688,0.4973304356771575,0.011559626861348883,0.5199400845216028,2.024595270274141,1.6519945521171213,0.029940119760479042,0.029940119760479042
rat0307__2023_06_05__vs__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,0.9971138156677057,0.9985466757939898,0.16988773741192637,0.12055389690963404,0.010509184713373882,0.47757709879700366,-0.029198925174597826,0.4989859060201069,2.065854148868417,2.0596685969867337,0.021956087824351298,0.013972055888223553
rat0307__2023_06_05__vs__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,0.9997093886465743,0.9987728236455898,0.0539083809278079,0.11077799214690527,0.016507330254191457,0.504130225531108,0.003542264909298401,0.5347333624502416,1.950293810208595,1.8611716205175066,0.001996007984031936,0.01996007984031936
rat0307__2023_06_05__vs__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,0.9877580336839793,0.9582986533100888,0.34988521426348795,0.6457657987994666,-0.012749458451213957,0.5068334250378167,0.005236011781566284,0.49307492704084993,1.9740361284588557,1.9328961771555742,0.011976047904191617,0.001996007984031936
rat0313__2023_05_31__vs__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,0.9982440120291025,0.9989045778222483,0.13251369630711854,0.1046624181715409,0.03698530483934125,0.5216865955960946,0.003844611341461828,0.5077365460354076,1.8425980565810751,1.9597958316189332,0.017964071856287425,0.017964071856287425
rat0313__2023_05_31__vs__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,0.9960242318110396,0.9508868091550285,0.1993932844646552,0.7008080396583038,0.009904256974884796,0.522710738219273,0.01829791522804737,0.5157530679991276,1.8865500605470347,1.8082081363955331,0.015968063872255488,0.005988023952095809
rat0314__2023_05_22__vs__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,0.9894481427839266,0.9492638987750313,0.3248362235969613,0.7122927854819862,0.025479272285425843,0.5102366909490632,0.0041483832222991715,0.5021080066383958,1.8892582356346723,1.8822952493433907,0.017964071856287425,0.013972055888223553
