pair,source,target,procrustes_disparity,trajectory_correlation,variance_explained,cross_animal_decoding_accuracy,shuffle_disparity_mean,shuffle_disparity_std,shuffle_decoding_accuracy_mean,shuffle_decoding_accuracy_std,disparity_effect_over_shuffle,decoding_effect_over_shuffle
rat0222__2023_05_09__vs__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,0.07401282088561414,0.8192828299527617,0.6460282241925686,0.29,0.18254931335914484,0.06090782147105037,0.25066000000000005,0.031332536694487774,1.7819795529071474,1.2555638371572029
rat0222__2023_05_09__vs__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,0.02260590499461086,0.9602202924671042,0.9141521800827287,0.31,0.23750883155308314,0.09893489981881971,0.23666000000000004,0.030477896981399778,2.172164998923795,2.406334008043872
rat0222__2023_05_09__vs__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,0.09987992471778648,0.840725066350208,0.7021363160453296,0.27,0.275303126630197,0.10878702325482273,0.24906,0.031029696810770432,1.6125379357195868,0.6748374026243055
rat0222__2023_05_09__vs__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,0.37442440032149155,0.9264072805722069,0.6274998015754072,0.35,0.7378472270925932,0.16963507686019416,0.26453999999999994,0.03548106836645213,2.1423801816096026,2.408608419491779
rat0307__2023_06_05__vs__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,0.07731680174838436,0.8344141311516746,0.6930344910040229,0.24,0.1889534450122691,0.0608154594855512,0.25208,0.030409259216432494,1.8356622511486222,-0.39724742763454984
rat0307__2023_06_05__vs__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,0.10114340318254578,0.8283429669728517,0.6846555156669168,0.28,0.21107172191457693,0.07141837312713324,0.26592,0.030666504022106522,1.5392162257231148,0.45913286985207724
rat0307__2023_06_05__vs__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,0.40741122357629306,0.8597800286445857,0.5762558835302172,0.33,0.6084673248682306,0.11683066833609394,0.2878200000000001,0.030451637138400583,1.7209188662136825,1.3851472027035774
rat0313__2023_05_31__vs__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,0.09979141247352481,0.7862312669673913,0.6081722850006859,0.28,0.21149275132730488,0.08165928632111884,0.25326,0.03487700116725694,1.3678951150090044,0.7666943574582312
rat0313__2023_05_31__vs__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,0.19863629433897376,0.9786278717839433,0.7398141933633908,0.34,0.5432680464988141,0.13649748613918633,0.26888,0.037319312187180625,2.5248212396264917,1.9057157228216575
rat0314__2023_05_22__vs__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,0.22113652741618134,0.8351621739405451,0.6311468428345928,0.3,0.4137262279740237,0.12185533112489039,0.26418,0.03402120640086033,1.580478250561363,1.0528727164447098
