pair,source,target,procrustes_disparity,trajectory_correlation,variance_explained,cross_animal_decoding_accuracy,shuffle_disparity_mean,shuffle_disparity_std,shuffle_decoding_accuracy_mean,shuffle_decoding_accuracy_std,disparity_effect_over_shuffle,decoding_effect_over_shuffle
rat0222__2023_05_09__vs__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,0.10398965222689605,0.8289738137762042,-2.72037044942546,0.204,0.13973886751380077,0.026380755279132202,0.20342400000000002,0.0051264788667410134,1.3551247835266942,0.11235782200076405
rat0222__2023_05_09__vs__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,0.10664847421835033,0.8135242744356538,-2.8561793014526806,0.204,0.1449061586484412,0.026089860422962845,0.20033600000000001,0.008954074765704137,1.4663813378019677,0.40919917421661606
rat0222__2023_05_09__vs__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,0.07507088968529332,0.8815900546958847,0.7680743202642392,0.224,0.24846888408846365,0.08191969093953914,0.20682400000000004,0.01041623828644872,2.1166827219983873,1.6489638128138389
rat0222__2023_05_09__vs__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,0.2850045463817957,0.776477822903742,0.5554250238305691,0.212,0.49741704163910255,0.15479242597449405,0.21244800000000003,0.008534692610511048,1.372240882718042,-0.052491638591446114
rat0307__2023_06_05__vs__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,0.0803347920121851,0.7981091263104882,0.5940428543612535,0.204,0.1633160012913579,0.062138293476801165,0.20050400000000002,0.006562325214773254,1.3354278760512335,0.5327379984353255
rat0307__2023_06_05__vs__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,1.321514768056777,0.8775689067768764,0.42941120350791906,0.212,1.7239770259837102,0.20834633523804877,0.20947200000000005,0.008791119585532565,1.9316982824156463,0.2875629179428118
rat0307__2023_06_05__vs__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,3.2884276847572442,0.7823098805353211,0.283105141383889,0.212,3.8720596492574058,0.3488116506953687,0.21088000000000004,0.010780818712148369,1.6732008903276885,0.10388821386430346
rat0313__2023_05_31__vs__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,1.5065979420862636,0.7557224975578408,0.35636140690319074,0.232,1.7942188278602085,0.22988078737647422,0.20860000000000006,0.009685640053527334,1.2511740935657667,2.4159477195808132
rat0313__2023_05_31__vs__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,3.004048837726029,0.9512373391496662,0.3520109806199214,0.212,3.9168722906523152,0.4043940853663152,0.21195200000000006,0.008512497943758048,2.2572621261248584,0.0056387678818922825
rat0314__2023_05_22__vs__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,0.20815978833374532,0.6891633581610621,0.4744878123307198,0.212,0.33375182129350095,0.11698769617313733,0.21242400000000006,0.010266792979122173,1.0735490745444223,-0.041298193200377156
