pair,train_session,test_session,train_animal,test_animal,feature_family,accuracy,balanced_accuracy,shuffle_accuracy_mean,shuffle_accuracy_std,shuffle_balanced_accuracy_mean,shuffle_balanced_accuracy_std,accuracy_effect_over_shuffle,balanced_accuracy_effect_over_shuffle,accuracy_shuffle_p,balanced_accuracy_shuffle_p
rat0222__2023_05_09__to__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,rat0222,rat0307,cebra,0.2,0.2,0.20028,0.03492220957274734,0.20028,0.03492220957274734,-0.008017820276140529,-0.008017820276140529,0.5469061876247505,0.5429141716566867
rat0222__2023_05_09__to__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,rat0222,rat0313,cebra,0.17,0.16999999999999998,0.1995,0.029935635696760114,0.1995,0.029935635696760117,-0.9854475882465639,-0.9854475882465646,0.8782435129740519,0.8782435129740519
rat0222__2023_05_09__to__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,rat0222,rat0314,cebra,0.22,0.22000000000000003,0.20079999999999998,0.03299602210797386,0.2008,0.03299602210797386,0.5818883239067817,0.5818883239067817,0.3273453093812375,0.3153692614770459
rat0222__2023_05_09__to__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,rat0222,rat0816,cebra,0.15,0.15,0.20162,0.040925853087037826,0.20162,0.040925853087037826,-1.2613054122590608,-1.2613054122590608,0.9161676646706587,0.9141716566866267
rat0307__2023_06_05__to__rat0222__2023_05_09,rat0307__2023_06_05,rat0222__2023_05_09,rat0307,rat0222,cebra,0.28,0.27999999999999997,0.19942000000000001,0.04298789968163223,0.19942000000000001,0.04298789968163223,1.874480972477705,1.8744809724777036,0.03992015968063872,0.03992015968063872
rat0307__2023_06_05__to__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,rat0307,rat0313,cebra,0.16,0.15999999999999998,0.20056000000000002,0.032077161479425735,0.20056000000000002,0.032077161479425735,-1.2644510339861326,-1.2644510339861335,0.9281437125748503,0.9281437125748503
rat0307__2023_06_05__to__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,rat0307,rat0314,cebra,0.23,0.22999999999999998,0.20013999999999998,0.03050970475387031,0.20013999999999998,0.030509704753870312,0.9787049806246366,0.9787049806246356,0.19161676646706588,0.19161676646706588
rat0307__2023_06_05__to__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,rat0307,rat0816,cebra,0.18,0.18,0.20012,0.040916181001352886,0.20012,0.040916181001352886,-0.491736997627778,-0.491736997627778,0.7045908183632734,0.7045908183632734
rat0313__2023_05_31__to__rat0222__2023_05_09,rat0313__2023_05_31,rat0222__2023_05_09,rat0313,rat0222,cebra,0.13,0.13,0.19983999999999996,0.04550732064695668,0.19983999999999996,0.04550732064695668,-1.5346981322371158,-1.5346981322371158,0.9740518962075848,0.9640718562874252
rat0313__2023_05_31__to__rat0307__2023_06_05,rat0313__2023_05_31,rat0307__2023_06_05,rat0313,rat0307,cebra,0.2,0.2,0.20134,0.035549006508304205,0.20134,0.035549006508304205,-0.03769444301311087,-0.03769444301311087,0.564870259481038,0.5568862275449101
