pair,train_session,test_session,train_animal,test_animal,feature_family,accuracy,balanced_accuracy,shuffle_accuracy_mean,shuffle_accuracy_std,shuffle_balanced_accuracy_mean,shuffle_balanced_accuracy_std,accuracy_effect_over_shuffle,balanced_accuracy_effect_over_shuffle,accuracy_shuffle_p,balanced_accuracy_shuffle_p
rat0222__2023_05_09__to__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,rat0222,rat0307,raw_summary,0.208,0.20800000000000002,0.19969600000000004,0.015379878586343303,0.19969600000000004,0.015379878586343312,0.5399262389089052,0.5399262389089068,0.30538922155688625,0.30538922155688625
rat0222__2023_05_09__to__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,rat0222,rat0313,raw_summary,0.204,0.20400000000000001,0.20223200000000002,0.022912794860877914,0.20223200000000002,0.02291279486087792,0.0771621275682395,0.07716212756824069,0.47904191616766467,0.47904191616766467
rat0222__2023_05_09__to__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,rat0222,rat0314,raw_summary,0.204,0.20400000000000001,0.200528,0.010464618123225035,0.200528,0.010464618123225041,0.33178468235685205,0.3317846823568545,0.4151696606786427,0.4151696606786427
rat0222__2023_05_09__to__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,rat0222,rat0816,raw_summary,0.232,0.23200000000000004,0.19760000000000003,0.025705593848620197,0.19760000000000003,0.0257055938486202,1.338230122306491,1.3382301223064919,0.09580838323353294,0.08183632734530938
rat0307__2023_06_05__to__rat0222__2023_05_09,rat0307__2023_06_05,rat0222__2023_05_09,rat0307,rat0222,raw_summary,0.208,0.20800000000000002,0.20083200000000004,0.01774670863384727,0.20083200000000004,0.01774670863384728,0.4039058818111681,0.40390588181116943,0.3333333333333333,0.3333333333333333
rat0307__2023_06_05__to__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,rat0307,rat0313,raw_summary,0.276,0.276,0.20073600000000003,0.030272547932353386,0.20073600000000003,0.03027254793235339,2.4862129269126565,2.486212926912656,0.015968063872255488,0.015968063872255488
rat0307__2023_06_05__to__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,rat0307,rat0314,raw_summary,0.196,0.196,0.19911200000000004,0.012081696519179874,0.19911200000000004,0.012081696519179883,-0.2575797194590747,-0.25757971945907454,0.7005988023952096,0.7005988023952096
rat0307__2023_06_05__to__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,rat0307,rat0816,raw_summary,0.204,0.20400000000000001,0.20060000000000003,0.019162212313861962,0.20060000000000003,0.01916221231386197,0.17743253985033844,0.17743253985033983,0.3872255489021956,0.3872255489021956
rat0313__2023_05_31__to__rat0222__2023_05_09,rat0313__2023_05_31,rat0222__2023_05_09,rat0313,rat0222,raw_summary,0.204,0.20400000000000001,0.20116800000000004,0.017626149275339554,0.20116800000000004,0.01762614927533956,0.16067037421282643,0.16067037421282795,0.48303393213572854,0.4810379241516966
rat0313__2023_05_31__to__rat0307__2023_06_05,rat0313__2023_05_31,rat0307__2023_06_05,rat0313,rat0307,raw_summary,0.208,0.20800000000000002,0.20007999999999998,0.0035353355136943845,0.20007999999999998,0.003535335513694393,2.2402399911751805,2.240239991175183,0.043912175648702596,0.043912175648702596
