pair,train_session,test_session,train_animal,test_animal,trial_averaged_trace_correlation,trial_averaged_trace_euclidean,trial_trace_avg_nearest_neighbor_distance,trial_trace_wasserstein_mean_binwise,shuffle_trace_correlation_mean,shuffle_trace_correlation_std,trace_correlation_effect_over_shuffle,trace_correlation_shuffle_p
rat0222__2023_05_09__to__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,rat0222,rat0307,0.9569613627810671,0.6560383923135352,0.6187167891354086,0.0004775750077422331,-0.011862922385885082,0.5017942951070156,1.9307200074092814,0.041916167664670656
rat0222__2023_05_09__to__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,rat0222,rat0313,0.9691831896262584,0.5551289073156048,0.5801122631188405,0.00033548414691439275,-0.03903414406069793,0.49605423637656465,2.032473991254453,0.015968063872255488
rat0222__2023_05_09__to__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,rat0222,rat0314,0.9577345297665386,0.6501189909044456,0.8057618977692709,0.001122687587054384,9.111002915425993e-05,0.4975714536658761,1.9246349698760068,0.03792415169660679
rat0222__2023_05_09__to__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,rat0222,rat0816,0.9804185405336143,0.44250942889824907,0.6498025432955555,8.125611466863602e-05,0.005960742511974324,0.4989158840973765,1.9531504790323513,0.031936127744510975
rat0307__2023_06_05__to__rat0222__2023_05_09,rat0307__2023_06_05,rat0222__2023_05_09,rat0307,rat0222,0.9569613627810671,0.6560383923135352,0.6187167891354086,0.0004775750077422331,0.03029533841492897,0.4965351511600274,1.8662646988863125,0.04590818363273453
rat0307__2023_06_05__to__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,rat0307,rat0313,0.9971138156677058,0.16988773741192623,0.3989199852523153,0.00014672805173100164,-0.04186076911822646,0.48556914484856967,2.1397047069577466,0.013972055888223553
rat0307__2023_06_05__to__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,rat0307,rat0314,0.9997093886465744,0.05390838092780891,0.45088217179447804,0.0006451125793121511,-0.015230610248847566,0.49130402588605915,2.0658084310727833,0.005988023952095809
rat0307__2023_06_05__to__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,rat0307,rat0816,0.9877580336839791,0.34988521426349006,0.500046342193583,0.0004249262902213188,0.02982727192958498,0.5207240684579754,1.8396129923303193,0.031936127744510975
rat0313__2023_05_31__to__rat0222__2023_05_09,rat0313__2023_05_31,rat0222__2023_05_09,rat0313,rat0222,0.9691831896262584,0.5551289073156048,0.5801122631188405,0.00033548414691439275,-0.007610179694379888,0.5126868405164718,1.905243692887911,0.031936127744510975
rat0313__2023_05_31__to__rat0307__2023_06_05,rat0313__2023_05_31,rat0307__2023_06_05,rat0313,rat0307,0.9971138156677058,0.16988773741192623,0.3989199852523153,0.00014672805173100164,0.02608788661737237,0.49410812312025126,1.9652094017770572,0.013972055888223553
rat0313__2023_05_31__to__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,rat0313,rat0314,0.9982440120291025,0.13251369630712115,0.41033418121096665,0.0007872034401399913,0.03047129732568103,0.4936715954375921,1.9603572975382242,0.01996007984031936
rat0313__2023_05_31__to__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,rat0313,rat0816,0.9960242318110396,0.19939328446465843,0.4808467481929807,0.0002828354293934785,-0.0021805782168575175,0.5103348922200168,1.9559799364013475,0.007984031936127744
rat0314__2023_05_22__to__rat0222__2023_05_09,rat0314__2023_05_22,rat0222__2023_05_09,rat0314,rat0222,0.9577345297665386,0.6501189909044456,0.8057618977692709,0.001122687587054384,0.01205844336957877,0.5037259797026805,1.8773621462906007,0.033932135728542916
rat0314__2023_05_22__to__rat0307__2023_06_05,rat0314__2023_05_22,rat0307__2023_06_05,rat0314,rat0307,0.9997093886465744,0.05390838092780891,0.45088217179447804,0.0006451125793121511,0.00360634796920343,0.5067192083368147,1.9657889898171461,0.007984031936127744
rat0314__2023_05_22__to__rat0313__2023_05_31,rat0314__2023_05_22,rat0313__2023_05_31,rat0314,rat0313,0.9982440120291025,0.13251369630712115,0.41033418121096665,0.0007872034401399913,-0.01430973356243269,0.5115732170568734,1.9792938954405153,0.017964071856287425
rat0314__2023_05_22__to__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,rat0314,rat0816,0.9894481427839261,0.3248362235969674,0.5528037178510241,0.0010700388695334697,0.06256278007041201,0.49299001348081395,1.8801300987197103,0.023952095808383235
rat0816__2022_11_08__to__rat0222__2023_05_09,rat0816__2022_11_08,rat0222__2023_05_09,rat0816,rat0222,0.9804185405336143,0.44250942889824907,0.6498025432955555,8.125611466863602e-05,0.04454799796567032,0.5070599175489299,1.8456803824917498,0.0499001996007984
rat0816__2022_11_08__to__rat0307__2023_06_05,rat0816__2022_11_08,rat0307__2023_06_05,rat0816,rat0307,0.9877580336839791,0.34988521426349006,0.500046342193583,0.0004249262902213188,0.010422518241609918,0.4881503847067499,2.0021197279799154,0.021956087824351298
rat0816__2022_11_08__to__rat0313__2023_05_31,rat0816__2022_11_08,rat0313__2023_05_31,rat0816,rat0313,0.9960242318110396,0.19939328446465843,0.4808467481929807,0.0002828354293934785,-0.03987137277078961,0.4922851331093676,2.1042593710659374,0.005988023952095809
rat0816__2022_11_08__to__rat0314__2023_05_22,rat0816__2022_11_08,rat0314__2023_05_22,rat0816,rat0314,0.9894481427839261,0.3248362235969674,0.5528037178510241,0.0010700388695334697,-0.034684535448152955,0.4924139014302059,2.0798208077747335,0.015968063872255488
