pair,train_session,test_session,train_animal,test_animal,feature_family,accuracy,balanced_accuracy,shuffle_accuracy_mean,shuffle_accuracy_std,shuffle_balanced_accuracy_mean,shuffle_balanced_accuracy_std,accuracy_effect_over_shuffle,balanced_accuracy_effect_over_shuffle,accuracy_shuffle_p,balanced_accuracy_shuffle_p,cebra_decoder_source_csv,cebra_decoder_task_scheme,cebra_decoder_dim,cebra_decoder_n_real_observations,cebra_decoder_n_shuffle_observations
rat0222__2023_05_09__to__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,rat0222,rat0307,cebra_real_decoder,0.29666,0.29666,0.2000883,0.0456138292477782,0.2000883,0.0456138292477782,2.117158361676111,2.117158361676111,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0222__2023_05_09__to__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,rat0222,rat0313,cebra_real_decoder,0.35336,0.35336,0.1999722,0.062598597362639,0.1999722,0.062598597362639,2.4503392482009057,2.4503392482009057,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0222__2023_05_09__to__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,rat0222,rat0314,cebra_real_decoder,0.4461145833333333,0.4461145833333333,0.1997703125,0.08601617262343457,0.1997703125,0.08601617262343457,2.8639296927542945,2.8639296927542945,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0222__2023_05_09__to__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,rat0222,rat0816,cebra_real_decoder,0.3920612244897959,0.3920612244897959,0.2002772448979592,0.07583825507037117,0.2002772448979592,0.07583825507037117,2.528855383261102,2.528855383261102,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0307__2023_06_05__to__rat0222__2023_05_09,rat0307__2023_06_05,rat0222__2023_05_09,rat0307,rat0222,cebra_real_decoder,0.30659,0.30659,0.200283,0.050992784956334164,0.20028300000000002,0.050992784956334164,2.0847459124076506,2.08474591240765,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0307__2023_06_05__to__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,rat0307,rat0313,cebra_real_decoder,0.34590000000000004,0.34590000000000004,0.2005312,0.061136483938003076,0.20053120000000002,0.061136483938003076,2.3777749493643565,2.377774949364356,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0307__2023_06_05__to__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,rat0307,rat0314,cebra_real_decoder,0.40978125,0.40978125,0.20038385416666668,0.08214562515462559,0.20038385416666668,0.08214562515462559,2.5490997900274937,2.5490997900274937,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0307__2023_06_05__to__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,rat0307,rat0816,cebra_real_decoder,0.3973979591836735,0.3973979591836735,0.19943295918367346,0.07548348396958507,0.19943295918367346,0.07548348396958507,2.622626693804529,2.622626693804529,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0313__2023_05_31__to__rat0222__2023_05_09,rat0313__2023_05_31,rat0222__2023_05_09,rat0313,rat0222,cebra_real_decoder,0.34829,0.34829,0.20034749999999998,0.053225468222568864,0.2003475,0.053225468222568864,2.7795434204798384,2.779543420479838,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0313__2023_05_31__to__rat0307__2023_06_05,rat0313__2023_05_31,rat0307__2023_06_05,rat0313,rat0307,cebra_real_decoder,0.31990999999999997,0.31990999999999997,0.1997531,0.045846439205130145,0.19975310000000002,0.04584643920513015,2.620855666944678,2.6208556669446765,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0313__2023_05_31__to__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,rat0313,rat0314,cebra_real_decoder,0.45975,0.45975,0.20047958333333332,0.08427369215891178,0.20047958333333332,0.08427369215891178,3.07652851114877,3.07652851114877,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0313__2023_05_31__to__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,rat0313,rat0816,cebra_real_decoder,0.4281020408163265,0.4281020408163265,0.19947275510204082,0.07435434541333222,0.19947275510204082,0.07435434541333222,3.0748611186521315,3.0748611186521315,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0314__2023_05_22__to__rat0222__2023_05_09,rat0314__2023_05_22,rat0222__2023_05_09,rat0314,rat0222,cebra_real_decoder,0.34946,0.34946,0.1997172,0.05302179841289499,0.1997172,0.05302179841289499,2.8241742921262794,2.8241742921262794,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0314__2023_05_22__to__rat0307__2023_06_05,rat0314__2023_05_22,rat0307__2023_06_05,rat0314,rat0307,cebra_real_decoder,0.31628,0.31628,0.2002793,0.04595382013880493,0.20027930000000002,0.04595382013880493,2.5242885063660934,2.524288506366093,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0314__2023_05_22__to__rat0313__2023_05_31,rat0314__2023_05_22,rat0313__2023_05_31,rat0314,rat0313,cebra_real_decoder,0.38453000000000004,0.38453000000000004,0.2000108,0.06205270136588471,0.2000108,0.06205270136588471,2.973588513286625,2.973588513286625,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0314__2023_05_22__to__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,rat0314,rat0816,cebra_real_decoder,0.4402448979591837,0.4402448979591837,0.19977397959183674,0.0756524140311392,0.19977397959183674,0.0756524140311392,3.1786284872332957,3.1786284872332957,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0816__2022_11_08__to__rat0222__2023_05_09,rat0816__2022_11_08,rat0222__2023_05_09,rat0816,rat0222,cebra_real_decoder,0.34165,0.34165,0.1998038,0.051992394499456786,0.1998038,0.051992394499456786,2.7282105655180398,2.7282105655180398,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0816__2022_11_08__to__rat0307__2023_06_05,rat0816__2022_11_08,rat0307__2023_06_05,rat0816,rat0307,cebra_real_decoder,0.31115,0.31115,0.2001998,0.04565609917573772,0.2001998,0.04565609917573772,2.4301287670883727,2.4301287670883727,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0816__2022_11_08__to__rat0313__2023_05_31,rat0816__2022_11_08,rat0313__2023_05_31,rat0816,rat0313,cebra_real_decoder,0.37706,0.37706,0.2003509,0.06189179779305051,0.2003509,0.06189179779305051,2.855129537372102,2.855129537372102,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
rat0816__2022_11_08__to__rat0314__2023_05_22,rat0816__2022_11_08,rat0314__2023_05_22,rat0816,rat0314,cebra_real_decoder,0.47053125,0.47053125,0.19960791666666666,0.08467569054094007,0.19960791666666666,0.08467569054094007,3.1995408788823982,3.1995408788823982,nan,nan,/Users/Hannah/Programming/data_eyeblink/cross_rat_latent_decoder_outputs/cross_rat_decoding_summary.csv,CSUS5,3,400.0,40000.0
