pair,train_session,test_session,train_animal,test_animal,feature_family,accuracy,balanced_accuracy,shuffle_accuracy_mean,shuffle_accuracy_std,shuffle_balanced_accuracy_mean,shuffle_balanced_accuracy_std,accuracy_effect_over_shuffle,balanced_accuracy_effect_over_shuffle,accuracy_shuffle_p,balanced_accuracy_shuffle_p
rat0222__2023_05_09__to__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,rat0222,rat0307,raw_summary,0.308,0.308,0.202,0.07697340977001894,0.202,0.07697340977001893,1.377098926976298,1.3770989269762983,0.10578842315369262,0.10578842315369262
rat0222__2023_05_09__to__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,rat0222,rat0313,raw_summary,0.44,0.44000000000000006,0.203824,0.06556137285950048,0.203824,0.06556137285950048,3.602365077164119,3.60236507716412,0.001996007984031936,0.001996007984031936
rat0222__2023_05_09__to__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,rat0222,rat0314,raw_summary,0.252,0.25200000000000006,0.198632,0.054042666436725555,0.198632,0.054042666436725555,0.987516040913424,0.987516040913425,0.17165668662674652,0.15768463073852296
rat0222__2023_05_09__to__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,rat0222,rat0816,raw_summary,0.3183673469387755,0.3183673469387755,0.2006530612244898,0.07777675087968146,0.2006530612244898,0.07777675087968146,1.513489370318214,1.513489370318214,0.07385229540918163,0.07385229540918163
rat0307__2023_06_05__to__rat0222__2023_05_09,rat0307__2023_06_05,rat0222__2023_05_09,rat0307,rat0222,raw_summary,0.252,0.25200000000000006,0.20300000000000004,0.07097776896588642,0.203,0.07097776896588642,0.6903570049313681,0.6903570049313693,0.29141716566866266,0.2874251497005988
rat0307__2023_06_05__to__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,rat0307,rat0313,raw_summary,0.336,0.33599999999999997,0.20311200000000001,0.056825396676264656,0.20311200000000001,0.056825396676264656,2.3385318497126457,2.3385318497126444,0.01996007984031936,0.01996007984031936
rat0307__2023_06_05__to__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,rat0307,rat0314,raw_summary,0.296,0.296,0.198776,0.06230680621088198,0.198776,0.06230680621088198,1.5604073762172657,1.5604073762172657,0.06786427145708583,0.06786427145708583
rat0307__2023_06_05__to__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,rat0307,rat0816,raw_summary,0.4,0.4,0.19611428571428574,0.07511613334287459,0.1961142857142857,0.07511613334287459,2.7142732887362415,2.714273288736242,0.007984031936127744,0.007984031936127744
rat0313__2023_05_31__to__rat0222__2023_05_09,rat0313__2023_05_31,rat0222__2023_05_09,rat0313,rat0222,raw_summary,0.3,0.3,0.20494400000000002,0.046571307017030876,0.20494400000000002,0.046571307017030876,2.041085081963418,2.041085081963418,0.017964071856287425,0.017964071856287425
rat0313__2023_05_31__to__rat0307__2023_06_05,rat0313__2023_05_31,rat0307__2023_06_05,rat0313,rat0307,raw_summary,0.32,0.32,0.20454400000000003,0.06253451202647045,0.204544,0.06253451202647045,1.8462765001049053,1.8462765001049057,0.015968063872255488,0.015968063872255488
rat0313__2023_05_31__to__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,rat0313,rat0314,raw_summary,0.244,0.24400000000000005,0.196952,0.10699385527277847,0.196952,0.10699385527277845,0.43972618689224885,0.4397261868922494,0.3333333333333333,0.3253493013972056
rat0313__2023_05_31__to__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,rat0313,rat0816,raw_summary,0.4775510204081633,0.4775510204081632,0.2070938775510204,0.0666783258410568,0.20709387755102043,0.0666783258410568,4.056147772843606,4.056147772843605,0.001996007984031936,0.001996007984031936
rat0314__2023_05_22__to__rat0222__2023_05_09,rat0314__2023_05_22,rat0222__2023_05_09,rat0314,rat0222,raw_summary,0.212,0.21200000000000002,0.19697600000000004,0.055613389774805934,0.196976,0.055613389774805934,0.2701507687417779,0.2701507687417789,0.3972055888223553,0.3972055888223553
rat0314__2023_05_22__to__rat0307__2023_06_05,rat0314__2023_05_22,rat0307__2023_06_05,rat0314,rat0307,raw_summary,0.312,0.312,0.19776000000000005,0.0683724797852467,0.19776000000000005,0.0683724797852467,1.6708476913345838,1.6708476913345838,0.05189620758483034,0.05189620758483034
rat0314__2023_05_22__to__rat0313__2023_05_31,rat0314__2023_05_22,rat0313__2023_05_31,rat0314,rat0313,raw_summary,0.22,0.22000000000000003,0.19774400000000003,0.05258068010058142,0.19774400000000003,0.05258068010058142,0.4232733383711762,0.4232733383711767,0.2894211576846307,0.2874251497005988
rat0314__2023_05_22__to__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,rat0314,rat0816,raw_summary,0.2163265306122449,0.2163265306122449,0.20073469387755102,0.07800191371332998,0.20073469387755102,0.07800191371332998,0.19989043848329777,0.19989043848329777,0.38922155688622756,0.38323353293413176
