pair,train_session,test_session,train_animal,test_animal,trial_averaged_trace_correlation,trial_averaged_trace_euclidean,trial_trace_avg_nearest_neighbor_distance,trial_trace_wasserstein_mean_binwise,shuffle_trace_correlation_mean,shuffle_trace_correlation_std,trace_correlation_effect_over_shuffle,trace_correlation_shuffle_p
rat0222__2023_05_09__to__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,rat0222,rat0307,0.9569613627810674,0.6560383923135354,0.6187167891354104,7.172149014350688e-05,0.008561378680758045,0.4920016119126718,1.9276359286982303,0.02594810379241517
rat0222__2023_05_09__to__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,rat0222,rat0313,0.9691831896262582,0.555128907315604,0.5801122631188403,9.391972824070463e-05,-0.0363035004128054,0.5127717381528862,1.960885546580711,0.029940119760479042
rat0222__2023_05_09__to__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,rat0222,rat0314,0.9577345297665385,0.650118990904445,0.8057618977692713,0.00017097946859546525,0.04377211082304841,0.49200315499547503,1.8576352807166365,0.05189620758483034
rat0222__2023_05_09__to__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,rat0222,rat0816,0.9785009791194041,0.463670366538514,nan,nan,0.02201875855606446,0.48977486274872434,1.9529018194101488,0.017964071856287425
rat0307__2023_06_05__to__rat0222__2023_05_09,rat0307__2023_06_05,rat0222__2023_05_09,rat0307,rat0222,0.9569613627810674,0.6560383923135354,0.6187167891354104,7.172149014350688e-05,-0.003588769424093659,0.5261100710994683,1.8257588762705057,0.02594810379241517
rat0307__2023_06_05__to__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,rat0307,rat0313,0.9971138156677057,0.16988773741192417,0.3989199852523154,2.96395773161147e-05,0.004169062769298518,0.48995824528055004,2.026590556364343,0.017964071856287425
rat0307__2023_06_05__to__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,rat0307,rat0314,0.9997093886465743,0.05390838092780658,0.4508821717944783,0.00011326703448133956,-0.016367863959257753,0.504052882885589,2.0158147827446578,0.007984031936127744
rat0307__2023_06_05__to__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,rat0307,rat0816,0.987908503371483,0.3477282937656523,nan,nan,0.004320852496734382,0.48225243011061864,2.039570128551004,0.013972055888223553
rat0313__2023_05_31__to__rat0222__2023_05_09,rat0313__2023_05_31,rat0222__2023_05_09,rat0313,rat0222,0.9691831896262582,0.555128907315604,0.5801122631188403,9.391972824070463e-05,-0.02153246684867344,0.4733692022046148,2.092902647364652,0.011976047904191617
rat0313__2023_05_31__to__rat0307__2023_06_05,rat0313__2023_05_31,rat0307__2023_06_05,rat0313,rat0307,0.9971138156677057,0.16988773741192417,0.3989199852523154,2.96395773161147e-05,0.007255009705571863,0.49122463449527537,2.0150838057606704,0.017964071856287425
rat0313__2023_05_31__to__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,rat0313,rat0314,0.9982440120291024,0.13251369630711915,0.4103341812109662,8.908683889144926e-05,0.022121168353045305,0.494937761749438,1.9722133147121208,0.02594810379241517
rat0313__2023_05_31__to__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,rat0313,rat0816,0.9962823625803796,0.1928117584490231,nan,nan,-0.03140329205426586,0.5266335862772337,1.9514244465480122,0.011976047904191617
rat0314__2023_05_22__to__rat0222__2023_05_09,rat0314__2023_05_22,rat0222__2023_05_09,rat0314,rat0222,0.9577345297665385,0.650118990904445,0.8057618977692713,0.00017097946859546525,-0.005118837548454017,0.5237914591465848,1.838238005796759,0.03792415169660679
rat0314__2023_05_22__to__rat0307__2023_06_05,rat0314__2023_05_22,rat0307__2023_06_05,rat0314,rat0307,0.9997093886465743,0.05390838092780658,0.4508821717944783,0.00011326703448133956,0.0013465133508285057,0.49825977326977927,2.0036995335667793,0.003992015968063872
rat0314__2023_05_22__to__rat0313__2023_05_31,rat0314__2023_05_22,rat0313__2023_05_31,rat0314,rat0313,0.9982440120291024,0.13251369630711915,0.4103341812109662,8.908683889144926e-05,0.01284371217360981,0.5250495459278082,1.8767758347723253,0.021956087824351298
rat0314__2023_05_22__to__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,rat0314,rat0816,0.989780657747444,0.319677059742422,nan,nan,0.005067523322440016,0.5048596522062972,1.9504690662477966,0.021956087824351298
rat0816__2022_11_08__to__rat0222__2023_05_09,rat0816__2022_11_08,rat0222__2023_05_09,rat0816,rat0222,0.9785009791194041,0.463670366538514,nan,nan,9.100863030447081e-05,0.4988014917758295,1.961521740854807,0.021956087824351298
rat0816__2022_11_08__to__rat0307__2023_06_05,rat0816__2022_11_08,rat0307__2023_06_05,rat0816,rat0307,0.987908503371483,0.3477282937656523,nan,nan,-0.0010397558092718792,0.5090772351677636,1.9426291157074669,0.00998003992015968
rat0816__2022_11_08__to__rat0313__2023_05_31,rat0816__2022_11_08,rat0313__2023_05_31,rat0816,rat0313,0.9962823625803796,0.1928117584490231,nan,nan,-0.00859927920953503,0.5048241804354265,1.9905576648946828,0.011976047904191617
rat0816__2022_11_08__to__rat0314__2023_05_22,rat0816__2022_11_08,rat0314__2023_05_22,rat0816,rat0314,0.989780657747444,0.319677059742422,nan,nan,0.044383571000354186,0.49894816175196327,1.8947801780199058,0.023952095808383235
