pair,train_session,test_session,train_animal,test_animal,trial_averaged_trace_correlation,trial_averaged_trace_euclidean,trial_trace_avg_nearest_neighbor_distance,trial_trace_wasserstein_mean_binwise,shuffle_trace_correlation_mean,shuffle_trace_correlation_std,trace_correlation_effect_over_shuffle,trace_correlation_shuffle_p
rat0222__2023_05_09__to__rat0307__2023_06_05,rat0222__2023_05_09,rat0307__2023_06_05,rat0222,rat0307,0.9569613627810671,0.6560383923135352,0.6187167891354086,0.0004775750077422331,0.05331620334895015,0.49265408556962237,1.8342386390387764,0.059880239520958084
rat0222__2023_05_09__to__rat0313__2023_05_31,rat0222__2023_05_09,rat0313__2023_05_31,rat0222,rat0313,0.9691831896262584,0.5551289073156048,0.5801122631188405,0.00033548414691439275,0.021845789966230336,0.5091188574941758,1.8607391686937569,0.021956087824351298
rat0222__2023_05_09__to__rat0314__2023_05_22,rat0222__2023_05_09,rat0314__2023_05_22,rat0222,rat0314,0.9577345297665386,0.6501189909044456,0.8057618977692709,0.001122687587054384,-0.024865576190990075,0.514613094427494,1.9093958482550257,0.02594810379241517
rat0222__2023_05_09__to__rat0816__2022_11_08,rat0222__2023_05_09,rat0816__2022_11_08,rat0222,rat0816,0.9804185405336143,0.44250942889824907,0.6498025432955555,8.125611466863602e-05,0.0033016412330514663,0.494653865416386,1.975354824080982,0.029940119760479042
rat0307__2023_06_05__to__rat0222__2023_05_09,rat0307__2023_06_05,rat0222__2023_05_09,rat0307,rat0222,0.9569613627810671,0.6560383923135352,0.6187167891354086,0.0004775750077422331,-0.0026461693014895806,0.503987449219473,1.9040306133986151,0.041916167664670656
rat0307__2023_06_05__to__rat0313__2023_05_31,rat0307__2023_06_05,rat0313__2023_05_31,rat0307,rat0313,0.9971138156677058,0.16988773741192623,0.3989199852523153,0.00014672805173100164,0.010660799282630234,0.4696568128654121,2.100369864469016,0.00998003992015968
rat0307__2023_06_05__to__rat0314__2023_05_22,rat0307__2023_06_05,rat0314__2023_05_22,rat0307,rat0314,0.9997093886465744,0.05390838092780891,0.45088217179447804,0.0006451125793121511,-0.016751878611540306,0.4809315485507977,2.11352586521105,0.003992015968063872
rat0307__2023_06_05__to__rat0816__2022_11_08,rat0307__2023_06_05,rat0816__2022_11_08,rat0307,rat0816,0.9877580336839791,0.34988521426349006,0.500046342193583,0.0004249262902213188,-0.0005685321927911176,0.49089486659417847,2.013316156132912,0.015968063872255488
rat0313__2023_05_31__to__rat0222__2023_05_09,rat0313__2023_05_31,rat0222__2023_05_09,rat0313,rat0222,0.9691831896262584,0.5551289073156048,0.5801122631188405,0.00033548414691439275,0.013667142984161074,0.5021578642104327,1.9028200387631125,0.01996007984031936
rat0313__2023_05_31__to__rat0307__2023_06_05,rat0313__2023_05_31,rat0307__2023_06_05,rat0313,rat0307,0.9971138156677058,0.16988773741192623,0.3989199852523153,0.00014672805173100164,-0.014079143055863354,0.5303481040739195,1.9066589490110253,0.01996007984031936
rat0313__2023_05_31__to__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,rat0313,rat0314,0.9982440120291025,0.13251369630712115,0.41033418121096665,0.0007872034401399913,-0.017312465646021492,0.5178645288792705,1.9610466078318336,0.021956087824351298
